Location,Site,PitID,Date/Local Standard Time,UTM Zone,Easting (m),Northing (m),Latitude (deg),Longitude (deg),Precip Type,Precip Rate,Sky,Wind,Ground Condition,Ground Roughness,Ground Vegetation,Height of Ground Vegetation (cm),Canopy
Grand Mesa,County Line Open,COGMCO_20191219_1220,2019-12-19T12:20,12N,756848,4324359,39.03056774,-108.0328052,None,see Weather comments in _siteDetails file,Clear,Light,Frozen,Smooth,Grass,10,No Trees
Grand Mesa,County Line Open,COGMCO_20191220_1030,2019-12-20T10:30,12N,756902,4324360,39.03056087,-108.0321818,None,see Weather comments in _siteDetails file,Clear,Light,Frozen,Smooth,Grass,5,No Trees
Grand Mesa,County Line Open,COGMCO_20200122_1015,2020-01-22T10:15,12N,756902,4324356,39.03052488,-108.0321833,Very Light,see Weather comments in _siteDetails file,Overcast(complete cover),Light,Frozen,Smooth,Grass,10,No Trees
Grand Mesa,County Line Open,COGMCO_20200131_0830,2020-01-31T08:30,12N,756906,4324360,39.0305597,-108.0321357,None,see Weather comments in _siteDetails file,Clear,Light,Frozen,Smooth,Grass,20,No Trees
Grand Mesa,County Line Open,COGMCO_20200212_0852,2020-02-12T08:52,12N,756901,4324357,39.03053417,-108.0321945,Light,see Weather comments in _siteDetails file,Overcast(complete cover),Light,Frozen,Rough,Grass,8,No Trees
Grand Mesa,County Line Open,COGMCO_20200219_0930,2020-02-19T09:30,12N,756902,4324361,39.03056987,-108.0321815,None,see Weather comments in _siteDetails file,Broken (> 1/2 of sky),Light,Frozen,Smooth,Grass,11,No Trees
Grand Mesa,County Line Open,COGMCO_20200226_0715,2020-02-26T07:15,12N,756902,4324359,39.03055187,-108.0321822,None,see Weather comments in _siteDetails file,Clear,Calm,Frozen,Smooth,Grass,-9999,No Trees
Grand Mesa,County Line Open,COGMCO_20200304_0921,2020-03-04T09:21,12N,756902,4324356,39.03052488,-108.0321833,None,see Weather comments in _siteDetails file,Clear,Light,Frozen,Smooth,Grass,-9999,No Trees
Grand Mesa,County Line Open,COGMCO_20200312_0850,2020-03-12T08:50,12N,756905,4324353,39.030497,-108.0321499,None,see Weather comments in _siteDetails file,Overcast(complete cover),Light,Frozen,Rough,Grass,-9999,No Trees
Grand Mesa,County Line Open,COGMCO_20200318_0825,2020-03-18T08:25,12N,756929,4324348,39.03044495,-108.0318748,Very Light,see Weather comments in _siteDetails file,Overcast(complete cover),Moderate,Frozen,Rough,Bare,0,No Trees
Grand Mesa,County Line Open,COGMCO_20200325_1015,2020-03-25T10:15,12N,756903,4324352,39.03048858,-108.0321733,None,see Weather comments in _siteDetails file,Broken (> 1/2 of sky),Moderate,Frozen,Smooth,Bare,0,No Trees
Grand Mesa,County Line Open,COGMCO_20200417_1509,2020-04-17T15:09,12N,756900,4324356,39.03052546,-108.0322064,None,see Weather comments in _siteDetails file,Scattered (1/4 - 1/2 of sky),Moderate,-9999,-9999,,,Open (20-70%)
Grand Mesa,County Line Tree,COGMCT_20191219_1420,2019-12-19T14:20,12N,756697,4324532,39.03216894,-108.0344824,None,see Weather comments in _siteDetails file,Clear,Calm,Frozen,Rugged,Shrub | Deadfall,20.0 | 30,Closed (>70%)
Grand Mesa,County Line Tree,COGMCT_20200122_1225,2020-01-22T12:25,12N,756710,4324540,39.03223712,-108.0343293,Very Light,see Weather comments in _siteDetails file,Overcast(complete cover),Calm,Frozen,Rugged,Shrub | Deadfall,10 | 20,Open (20-70%)
Grand Mesa,County Line Tree,COGMCT_20200131_1016,2020-01-31T10:16,12N,756714,4324540,39.03223595,-108.0342832,None,see Weather comments in _siteDetails file,Few (< 1/4 of sky),Light,Frozen,Smooth,Shrub | Deadfall,10 | -9999,Open (20-70%)
